id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,priority,gender,discount_offered,weight_in_gms,exceeded_deadline,faixa_peso,faixa_desconto
313,D,Ship,3,3,140.0,3,medium,M,51.0,1046.0,True,1000-2000,51-60%
314,F,Ship,4,3,272.0,3,medium,M,38.0,3705.0,True,3001-4000,31-40%
315,A,Ship,4,2,143.0,6,medium,M,20.0,1654.0,True,1000-2000,11-20%
316,B,Ship,4,2,138.0,3,low,F,30.0,1805.0,True,1000-2000,21-30%
317,C,Ship,4,2,238.0,2,high,M,17.0,3358.0,True,3001-4000,11-20%
318,F,Ship,4,5,273.0,4,medium,F,31.0,2373.0,True,2001-3000,31-40%
319,D,Ship,3,1,200.0,2,medium,M,27.0,2551.0,True,2001-3000,21-30%
320,F,Ship,4,5,213.0,4,low,M,39.0,2381.0,True,2001-3000,31-40%
321,A,Ship,3,4,224.0,2,medium,F,15.0,2701.0,True,2001-3000,11-20%
322,B,Ship,4,5,141.0,3,medium,M,12.0,1672.0,True,1000-2000,11-20%
323,C,Ship,3,3,150.0,3,low,M,46.0,1040.0,True,1000-2000,41-50%
324,F,Ship,3,1,192.0,2,low,M,33.0,2818.0,True,2001-3000,31-40%
325,D,Ship,5,1,279.0,4,medium,F,24.0,3440.0,True,3001-4000,21-30%
326,F,Ship,3,4,246.0,3,medium,M,30.0,3748.0,True,3001-4000,21-30%
327,A,Ship,3,4,173.0,3,medium,M,52.0,1587.0,True,1000-2000,51-60%
328,B,Ship,4,4,233.0,4,medium,F,59.0,2358.0,True,2001-3000,51-60%
329,C,Ship,5,1,274.0,2,medium,M,24.0,2423.0,True,2001-3000,21-30%
330,F,Ship,4,5,243.0,4,medium,F,41.0,2782.0,True,2001-3000,41-50%
331,D,Ship,3,4,197.0,3,medium,F,56.0,3427.0,True,3001-4000,51-60%
332,F,Ship,4,3,140.0,3,high,F,46.0,1072.0,True,1000-2000,41-50%
333,A,Ship,3,5,215.0,3,medium,F,22.0,2585.0,True,2001-3000,21-30%
334,B,Ship,3,4,211.0,3,medium,M,8.0,3710.0,True,3001-4000,6-10%
335,C,Ship,4,2,220.0,5,low,M,33.0,2854.0,True,2001-3000,31-40%
336,F,Ship,3,1,194.0,4,low,M,64.0,2026.0,True,2001-3000,60%+
337,D,Ship,5,1,262.0,3,medium,F,58.0,3599.0,True,3001-4000,51-60%
338,F,Ship,4,4,201.0,2,low,F,1.0,3147.0,True,3001-4000,0-5%
339,A,Ship,3,5,261.0,3,medium,M,15.0,2989.0,True,2001-3000,11-20%
340,B,Ship,4,4,191.0,6,low,F,60.0,3425.0,True,3001-4000,51-60%
341,C,Ship,2,5,255.0,5,medium,F,53.0,3775.0,True,3001-4000,51-60%
342,F,Ship,3,2,169.0,2,high,M,30.0,1698.0,True,1000-2000,21-30%
343,D,Ship,4,5,162.0,2,medium,M,64.0,1918.0,True,1000-2000,60%+
344,F,Ship,2,5,248.0,6,low,F,62.0,2750.0,True,2001-3000,60%+
345,A,Ship,5,3,197.0,4,low,F,2.0,2222.0,True,2001-3000,0-5%
346,B,Ship,5,1,264.0,3,low,M,6.0,2882.0,True,2001-3000,6-10%
347,C,Ship,5,5,260.0,2,medium,F,55.0,2791.0,True,2001-3000,51-60%
348,F,Ship,5,3,186.0,2,medium,F,58.0,2259.0,True,2001-3000,51-60%
349,D,Ship,4,5,233.0,4,low,F,44.0,2551.0,True,2001-3000,41-50%
350,F,Ship,5,1,161.0,3,low,M,47.0,1954.0,True,1000-2000,41-50%
351,A,Ship,4,5,188.0,3,low,F,13.0,2409.0,True,2001-3000,11-20%
352,B,Ship,5,5,171.0,2,medium,F,22.0,1695.0,True,1000-2000,21-30%
353,C,Ship,2,2,267.0,3,medium,M,15.0,2481.0,True,2001-3000,11-20%
354,F,Ship,4,3,255.0,2,high,M,47.0,2956.0,True,2001-3000,41-50%
355,D,Ship,3,2,132.0,3,low,F,56.0,1303.0,True,1000-2000,51-60%
356,F,Ship,5,1,266.0,3,low,F,31.0,3157.0,True,3001-4000,31-40%
357,A,Ship,3,4,198.0,2,low,M,25.0,2774.0,True,2001-3000,21-30%
358,B,Ship,2,3,247.0,2,medium,F,62.0,3127.0,True,3001-4000,60%+
359,C,Ship,3,1,140.0,3,medium,F,65.0,1291.0,True,1000-2000,60%+
360,F,Ship,4,3,131.0,5,low,M,6.0,1659.0,True,1000-2000,6-10%
361,D,Ship,5,2,246.0,3,medium,M,49.0,3236.0,True,3001-4000,41-50%
362,F,Ship,3,2,159.0,3,medium,F,4.0,1681.0,True,1000-2000,0-5%
363,A,Ship,3,5,203.0,2,medium,M,61.0,3642.0,True,3001-4000,60%+
364,B,Ship,4,3,187.0,4,high,F,29.0,3141.0,True,3001-4000,21-30%
365,C,Ship,6,2,146.0,3,low,F,62.0,1936.0,True,1000-2000,60%+
366,F,Ship,3,2,234.0,3,medium,M,39.0,2099.0,True,2001-3000,31-40%
367,D,Ship,3,4,122.0,3,high,F,15.0,1354.0,True,1000-2000,11-20%
368,F,Ship,3,3,135.0,3,low,M,8.0,1074.0,True,1000-2000,6-10%
369,A,Ship,3,5,103.0,3,low,M,3.0,1403.0,True,1000-2000,0-5%
370,B,Ship,3,5,257.0,3,medium,F,19.0,2173.0,True,2001-3000,11-20%
371,C,Ship,4,3,169.0,2,low,M,2.0,1399.0,True,1000-2000,0-5%
372,F,Ship,4,5,159.0,3,medium,M,18.0,1808.0,True,1000-2000,11-20%
373,D,Ship,4,5,188.0,3,low,M,38.0,3031.0,True,3001-4000,31-40%
374,F,Ship,5,1,136.0,3,medium,M,19.0,1420.0,True,1000-2000,11-20%
375,A,Ship,5,1,227.0,3,low,F,19.0,3007.0,True,3001-4000,11-20%
376,B,Ship,3,5,262.0,2,low,F,53.0,3275.0,True,3001-4000,51-60%
377,C,Ship,2,3,157.0,2,low,M,45.0,1965.0,True,1000-2000,41-50%
378,F,Ship,5,3,238.0,2,medium,F,21.0,2053.0,True,2001-3000,21-30%
379,D,Ship,3,5,152.0,3,low,M,43.0,1282.0,True,1000-2000,41-50%
380,F,Ship,3,2,201.0,3,medium,M,5.0,2040.0,True,2001-3000,0-5%
381,A,Ship,3,4,148.0,2,low,M,54.0,1778.0,True,1000-2000,51-60%
382,B,Ship,5,2,199.0,4,low,F,59.0,2885.0,True,2001-3000,51-60%
383,C,Ship,5,4,215.0,2,low,F,45.0,3501.0,True,3001-4000,41-50%
384,F,Ship,4,5,175.0,2,low,M,40.0,1270.0,True,1000-2000,31-40%
385,D,Road,4,3,236.0,2,high,M,23.0,3123.0,True,3001-4000,21-30%
386,F,Road,2,5,182.0,2,medium,F,57.0,2896.0,True,2001-3000,51-60%
387,A,Road,3,1,251.0,3,medium,M,42.0,3698.0,True,3001-4000,41-50%
388,B,Road,5,2,173.0,3,low,F,7.0,1855.0,True,1000-2000,6-10%
389,C,Road,4,3,225.0,3,low,F,62.0,2587.0,True,2001-3000,60%+
390,F,Road,4,2,167.0,4,low,F,20.0,1705.0,True,1000-2000,11-20%
391,D,Road,4,1,259.0,3,low,M,20.0,2154.0,True,2001-3000,11-20%
392,F,Road,4,1,178.0,3,medium,F,63.0,1573.0,True,1000-2000,60%+
393,A,Road,4,4,178.0,4,medium,F,13.0,1614.0,True,1000-2000,11-20%
394,B,Road,5,4,169.0,2,low,F,20.0,1765.0,True,1000-2000,11-20%
395,C,Road,3,2,272.0,2,low,M,33.0,2321.0,True,2001-3000,31-40%
396,F,Road,4,4,183.0,3,low,M,29.0,3251.0,True,3001-4000,21-30%
397,D,Road,3,4,205.0,3,low,F,10.0,2728.0,True,2001-3000,6-10%
398,F,Road,2,1,123.0,4,low,F,53.0,1036.0,True,1000-2000,51-60%
399,A,Road,4,3,152.0,3,low,M,58.0,1453.0,True,1000-2000,51-60%
400,B,Road,3,1,220.0,2,high,F,40.0,3773.0,True,3001-4000,31-40%
401,C,Road,4,3,134.0,3,low,M,51.0,1965.0,True,1000-2000,51-60%
402,F,Road,3,2,217.0,2,high,M,19.0,2992.0,True,2001-3000,11-20%
403,D,Road,3,2,265.0,3,low,F,49.0,2791.0,True,2001-3000,41-50%
404,F,Road,4,2,249.0,5,medium,M,36.0,3836.0,True,3001-4000,31-40%
405,A,Road,5,3,213.0,4,medium,F,50.0,2003.0,True,2001-3000,41-50%
406,B,Road,2,2,124.0,3,low,F,56.0,1494.0,True,1000-2000,51-60%
407,C,Flight,4,1,180.0,2,low,M,23.0,1193.0,True,1000-2000,21-30%
408,F,Flight,4,5,193.0,3,medium,M,65.0,2267.0,True,2001-3000,60%+
409,D,Flight,3,2,192.0,3,medium,M,43.0,3339.0,True,3001-4000,41-50%
410,F,Flight,2,5,166.0,3,medium,M,3.0,1832.0,True,1000-2000,0-5%
411,A,Flight,3,2,264.0,3,medium,M,5.0,3861.0,True,3001-4000,0-5%
412,B,Flight,3,4,200.0,2,medium,M,14.0,3528.0,True,3001-4000,11-20%
413,C,Flight,4,3,142.0,4,medium,M,12.0,1396.0,True,1000-2000,11-20%
414,F,Flight,4,1,215.0,2,low,M,32.0,3066.0,True,3001-4000,31-40%
415,D,Flight,2,1,218.0,2,low,M,15.0,2745.0,True,2001-3000,11-20%
416,F,Flight,3,2,115.0,3,low,F,27.0,1814.0,True,1000-2000,21-30%
417,A,Flight,4,3,159.0,3,low,M,33.0,1330.0,True,1000-2000,31-40%
418,B,Flight,5,5,133.0,3,low,M,63.0,1218.0,True,1000-2000,60%+
419,C,Flight,5,2,178.0,3,low,M,48.0,1517.0,True,1000-2000,41-50%
420,F,Flight,4,2,134.0,2,low,F,43.0,1714.0,True,1000-2000,41-50%
421,D,Flight,3,1,184.0,5,medium,F,58.0,2544.0,True,2001-3000,51-60%
422,F,Flight,4,2,251.0,2,medium,M,24.0,2405.0,True,2001-3000,21-30%
423,A,Flight,3,2,141.0,3,low,M,7.0,1933.0,True,1000-2000,6-10%
424,B,Flight,4,4,229.0,2,medium,M,45.0,3776.0,True,3001-4000,41-50%
425,C,Flight,4,1,203.0,4,low,M,34.0,3813.0,True,3001-4000,31-40%
426,F,Flight,4,3,158.0,3,medium,F,57.0,1911.0,True,1000-2000,51-60%
427,D,Flight,3,4,167.0,3,medium,M,52.0,1755.0,True,1000-2000,51-60%
428,F,Flight,5,4,197.0,4,low,F,40.0,3303.0,True,3001-4000,31-40%
429,A,Ship,2,2,140.0,3,low,F,19.0,1806.0,True,1000-2000,11-20%
430,B,Ship,5,1,205.0,2,medium,M,27.0,3569.0,True,3001-4000,21-30%
431,C,Ship,5,5,208.0,3,low,F,45.0,2018.0,True,2001-3000,41-50%
432,F,Ship,4,2,96.0,3,low,M,22.0,1294.0,True,1000-2000,21-30%
433,D,Ship,6,4,205.0,3,low,F,44.0,2064.0,True,2001-3000,41-50%
434,F,Ship,4,2,215.0,3,medium,F,48.0,2953.0,True,2001-3000,41-50%
435,A,Ship,4,1,216.0,3,low,F,43.0,2643.0,True,2001-3000,41-50%
436,B,Ship,3,1,112.0,2,high,M,22.0,1846.0,True,1000-2000,21-30%
437,C,Ship,5,4,222.0,3,low,F,20.0,3632.0,True,3001-4000,11-20%
438,F,Ship,5,2,186.0,3,medium,F,15.0,2153.0,True,2001-3000,11-20%
439,D,Ship,3,5,241.0,3,medium,M,48.0,2841.0,True,2001-3000,41-50%
440,F,Ship,3,3,172.0,3,low,F,58.0,1269.0,True,1000-2000,51-60%
441,A,Ship,3,5,251.0,2,high,M,23.0,2426.0,True,2001-3000,21-30%
442,B,Ship,5,3,190.0,3,high,M,45.0,2628.0,True,2001-3000,41-50%
443,C,Ship,4,3,186.0,2,medium,F,48.0,2805.0,True,2001-3000,41-50%
444,F,Ship,4,4,207.0,2,medium,M,35.0,2596.0,True,2001-3000,31-40%
445,D,Ship,3,3,135.0,3,low,F,19.0,1366.0,True,1000-2000,11-20%
446,F,Ship,4,4,189.0,2,medium,F,18.0,2955.0,True,2001-3000,11-20%
447,A,Ship,4,4,173.0,5,medium,F,51.0,1691.0,True,1000-2000,51-60%
448,B,Ship,3,4,194.0,3,medium,M,3.0,2169.0,True,2001-3000,0-5%
449,C,Ship,3,1,183.0,3,low,M,19.0,3018.0,True,3001-4000,11-20%
450,F,Ship,4,3,140.0,2,low,F,22.0,1248.0,True,1000-2000,21-30%
451,D,Ship,4,4,244.0,3,medium,F,55.0,2782.0,True,2001-3000,51-60%
452,F,Ship,2,3,189.0,4,low,M,34.0,3355.0,True,3001-4000,31-40%
453,A,Ship,3,2,157.0,2,medium,M,53.0,1390.0,True,1000-2000,51-60%
454,B,Ship,4,1,275.0,10,medium,F,23.0,2726.0,True,2001-3000,21-30%
455,C,Ship,4,5,133.0,3,low,F,53.0,1467.0,True,1000-2000,51-60%
456,F,Ship,4,1,149.0,3,medium,M,54.0,1178.0,True,1000-2000,51-60%
457,D,Ship,3,3,254.0,2,high,M,17.0,3153.0,True,3001-4000,11-20%
458,F,Ship,3,4,145.0,8,low,F,15.0,1429.0,True,1000-2000,11-20%
459,A,Ship,3,2,179.0,5,low,F,52.0,1991.0,True,1000-2000,51-60%
460,B,Ship,5,2,168.0,3,low,M,26.0,1526.0,True,1000-2000,21-30%
461,C,Ship,4,1,202.0,3,medium,F,18.0,3940.0,True,3001-4000,11-20%
462,F,Ship,3,4,220.0,7,low,M,43.0,2620.0,True,2001-3000,41-50%
463,D,Ship,3,4,244.0,8,low,M,1.0,2703.0,True,2001-3000,0-5%
464,F,Ship,4,2,186.0,7,medium,F,40.0,3111.0,True,3001-4000,31-40%
465,A,Ship,5,2,263.0,8,medium,M,24.0,3139.0,True,3001-4000,21-30%
466,B,Ship,3,2,294.0,4,low,F,15.0,1318.0,True,1000-2000,11-20%
467,C,Ship,3,5,226.0,2,medium,F,2.0,1043.0,True,1000-2000,0-5%
468,F,Ship,4,4,173.0,5,medium,F,2.0,1175.0,True,1000-2000,0-5%
469,D,Ship,3,5,194.0,3,medium,F,10.0,2277.0,True,2001-3000,6-10%
470,F,Ship,3,5,183.0,3,low,F,2.0,3459.0,True,3001-4000,0-5%
471,A,Ship,4,1,140.0,2,low,M,61.0,1770.0,True,1000-2000,60%+
472,B,Ship,4,3,244.0,3,medium,M,8.0,3318.0,True,3001-4000,6-10%
473,C,Ship,2,2,189.0,4,low,M,9.0,3413.0,True,3001-4000,6-10%
474,F,Ship,3,1,157.0,2,medium,F,39.0,1525.0,True,1000-2000,31-40%
475,D,Ship,4,3,275.0,10,medium,M,10.0,2093.0,True,2001-3000,6-10%
476,F,Ship,4,5,133.0,3,low,M,59.0,1092.0,True,1000-2000,51-60%
477,A,Ship,4,2,149.0,3,medium,M,26.0,1863.0,True,1000-2000,21-30%
478,B,Ship,3,4,254.0,2,high,F,41.0,3973.0,True,3001-4000,41-50%
479,C,Ship,3,4,145.0,8,low,F,24.0,1594.0,True,1000-2000,21-30%
480,F,Ship,3,5,179.0,5,low,M,56.0,1113.0,True,1000-2000,51-60%
481,D,Ship,5,4,168.0,3,low,F,13.0,1317.0,True,1000-2000,11-20%
482,F,Ship,4,5,202.0,3,medium,F,46.0,3181.0,True,3001-4000,41-50%
483,A,Ship,3,3,220.0,7,low,M,25.0,2141.0,True,2001-3000,21-30%
484,B,Ship,3,2,244.0,8,low,F,50.0,3562.0,True,3001-4000,41-50%
485,C,Ship,4,3,186.0,7,medium,F,30.0,2062.0,True,2001-3000,21-30%
486,F,Ship,5,5,263.0,8,medium,F,9.0,2236.0,True,2001-3000,6-10%
487,D,Ship,3,1,294.0,4,low,F,25.0,1498.0,True,1000-2000,21-30%
488,F,Ship,4,1,139.0,3,low,F,56.0,1811.0,True,1000-2000,51-60%
489,A,Ship,7,5,192.0,3,low,M,46.0,1550.0,True,1000-2000,41-50%
490,B,Ship,3,3,235.0,3,low,M,5.0,3065.0,True,3001-4000,0-5%
491,C,Ship,2,1,176.0,3,low,F,15.0,1996.0,True,1000-2000,11-20%
492,F,Ship,5,4,224.0,3,low,F,34.0,2627.0,True,2001-3000,31-40%
493,D,Ship,3,4,128.0,3,medium,F,51.0,1524.0,True,1000-2000,51-60%
494,F,Ship,5,4,226.0,5,low,M,47.0,2240.0,True,2001-3000,41-50%
495,A,Ship,5,1,160.0,5,medium,F,16.0,1526.0,True,1000-2000,11-20%
496,B,Ship,3,1,197.0,5,low,M,45.0,2224.0,True,2001-3000,41-50%
497,C,Ship,4,2,216.0,3,low,F,12.0,2273.0,True,2001-3000,11-20%
498,F,Ship,4,4,199.0,2,low,M,9.0,3075.0,True,3001-4000,6-10%
499,D,Ship,5,5,271.0,2,low,M,27.0,3957.0,True,3001-4000,21-30%
500,F,Ship,5,1,201.0,3,low,F,47.0,2657.0,True,2001-3000,41-50%
501,A,Ship,3,4,212.0,2,low,M,33.0,2021.0,True,2001-3000,31-40%
502,B,Ship,3,2,177.0,3,low,M,10.0,1641.0,True,1000-2000,6-10%
503,C,Ship,3,4,191.0,4,medium,F,43.0,2903.0,True,2001-3000,41-50%
504,F,Ship,3,2,174.0,3,low,M,30.0,1986.0,True,1000-2000,21-30%
505,D,Ship,5,3,162.0,2,low,F,14.0,1045.0,True,1000-2000,11-20%
506,F,Ship,3,1,219.0,2,low,F,39.0,2696.0,True,2001-3000,31-40%
507,A,Ship,4,4,155.0,3,medium,F,35.0,1421.0,True,1000-2000,31-40%
508,B,Ship,5,3,230.0,3,medium,F,3.0,2923.0,True,2001-3000,0-5%
509,C,Ship,4,5,192.0,2,medium,F,36.0,2497.0,True,2001-3000,31-40%
510,F,Ship,5,2,235.0,3,low,M,14.0,2984.0,True,2001-3000,11-20%
511,D,Ship,3,2,200.0,3,low,M,46.0,3642.0,True,3001-4000,41-50%
512,F,Ship,5,2,172.0,3,medium,M,65.0,1667.0,True,1000-2000,60%+
513,A,Ship,5,4,160.0,4,low,F,6.0,1603.0,True,1000-2000,6-10%
514,B,Ship,5,3,250.0,5,low,M,12.0,2722.0,True,2001-3000,11-20%
515,C,Ship,4,2,174.0,3,low,M,9.0,1682.0,True,1000-2000,6-10%
516,F,Ship,3,2,204.0,3,high,F,54.0,3608.0,True,3001-4000,51-60%
517,D,Ship,3,5,274.0,3,medium,F,51.0,3476.0,True,3001-4000,51-60%
518,F,Ship,5,5,262.0,2,medium,F,62.0,3744.0,True,3001-4000,60%+
519,A,Ship,4,5,138.0,3,medium,M,23.0,1785.0,True,1000-2000,21-30%
520,B,Ship,3,1,215.0,3,medium,F,2.0,3873.0,True,3001-4000,0-5%
521,C,Ship,3,1,145.0,2,low,F,34.0,1773.0,True,1000-2000,31-40%
522,F,Road,4,5,149.0,2,medium,M,56.0,1141.0,True,1000-2000,51-60%
523,D,Road,6,5,212.0,2,medium,M,38.0,2359.0,True,2001-3000,31-40%
524,F,Road,3,1,155.0,3,medium,F,47.0,1193.0,True,1000-2000,41-50%
525,A,Road,5,2,154.0,3,low,M,40.0,1238.0,True,1000-2000,31-40%
526,B,Road,3,3,249.0,3,medium,M,51.0,2173.0,True,2001-3000,51-60%
527,C,Road,5,1,206.0,2,low,M,2.0,3490.0,True,3001-4000,0-5%
528,F,Road,4,5,235.0,3,medium,F,22.0,2015.0,True,2001-3000,21-30%
529,D,Road,5,5,261.0,3,medium,F,8.0,3257.0,True,3001-4000,6-10%
530,F,Road,6,1,243.0,4,high,F,22.0,3537.0,True,3001-4000,21-30%
531,A,Road,3,2,237.0,2,high,M,26.0,3103.0,True,3001-4000,21-30%
532,B,Road,2,4,179.0,2,low,F,19.0,1900.0,True,1000-2000,11-20%
533,C,Road,4,3,192.0,3,low,F,43.0,3498.0,True,3001-4000,41-50%
534,F,Road,3,1,141.0,3,medium,F,39.0,1838.0,True,1000-2000,31-40%
535,D,Road,3,2,245.0,3,low,F,61.0,2188.0,True,2001-3000,60%+
536,F,Road,4,4,177.0,4,medium,F,32.0,1774.0,True,1000-2000,31-40%
537,A,Road,2,3,154.0,4,high,F,17.0,1897.0,True,1000-2000,11-20%
538,B,Road,4,4,228.0,3,medium,F,12.0,3359.0,True,3001-4000,11-20%
539,C,Road,3,3,207.0,6,high,F,24.0,3702.0,True,3001-4000,21-30%
540,F,Road,4,4,266.0,4,medium,F,33.0,2701.0,True,2001-3000,31-40%
541,D,Road,3,3,172.0,3,medium,F,42.0,1707.0,True,1000-2000,41-50%
542,F,Road,4,3,142.0,3,low,F,35.0,1512.0,True,1000-2000,31-40%
543,A,Road,4,5,218.0,3,low,F,40.0,3200.0,True,3001-4000,31-40%
544,B,Flight,3,3,231.0,2,low,M,46.0,2962.0,True,2001-3000,41-50%
545,C,Flight,4,2,180.0,3,low,F,47.0,1434.0,True,1000-2000,41-50%
546,F,Flight,3,1,168.0,3,low,M,46.0,1886.0,True,1000-2000,41-50%
547,D,Flight,5,5,147.0,4,high,F,42.0,1642.0,True,1000-2000,41-50%
548,F,Flight,5,4,245.0,5,low,M,6.0,3592.0,True,3001-4000,6-10%
549,A,Flight,2,4,182.0,3,medium,M,47.0,3792.0,True,3001-4000,41-50%
550,B,Flight,3,4,176.0,3,medium,F,8.0,1567.0,True,1000-2000,6-10%
551,C,Flight,5,3,197.0,4,medium,F,51.0,2917.0,True,2001-3000,51-60%
552,F,Flight,3,5,233.0,3,medium,M,52.0,3519.0,True,3001-4000,51-60%
553,D,Flight,3,4,156.0,2,low,M,8.0,1145.0,True,1000-2000,6-10%
554,F,Flight,2,3,257.0,4,medium,F,52.0,2073.0,True,2001-3000,51-60%
555,A,Flight,5,4,250.0,3,low,F,11.0,3373.0,True,3001-4000,11-20%
556,B,Flight,5,4,189.0,5,low,M,3.0,3301.0,True,3001-4000,0-5%
557,C,Flight,3,3,255.0,2,high,M,7.0,3311.0,True,3001-4000,6-10%
558,F,Flight,2,3,198.0,2,medium,M,28.0,3514.0,True,3001-4000,21-30%
559,D,Flight,4,2,164.0,3,medium,M,15.0,1489.0,True,1000-2000,11-20%
560,F,Flight,5,2,271.0,3,medium,M,32.0,3785.0,True,3001-4000,31-40%
561,A,Flight,3,1,185.0,2,medium,F,34.0,3299.0,True,3001-4000,31-40%
562,B,Flight,2,5,157.0,6,high,F,17.0,1764.0,True,1000-2000,11-20%
563,C,Flight,3,2,137.0,2,medium,M,17.0,1673.0,True,1000-2000,11-20%
564,F,Flight,3,3,229.0,3,low,M,14.0,2164.0,True,2001-3000,11-20%
565,D,Flight,3,3,234.0,2,medium,F,39.0,2449.0,True,2001-3000,31-40%
566,F,Ship,4,3,216.0,2,low,M,52.0,3578.0,True,3001-4000,51-60%
567,A,Ship,3,1,163.0,4,low,F,20.0,1940.0,True,1000-2000,11-20%
568,B,Ship,5,2,268.0,3,low,M,19.0,2526.0,True,2001-3000,11-20%
569,C,Ship,3,3,205.0,5,medium,M,35.0,2988.0,True,2001-3000,31-40%
570,F,Ship,4,5,265.0,2,medium,F,18.0,2969.0,True,2001-3000,11-20%
571,D,Ship,2,2,236.0,3,medium,M,3.0,3416.0,True,3001-4000,0-5%
572,F,Ship,4,1,132.0,3,low,M,63.0,1901.0,True,1000-2000,60%+
573,A,Ship,3,4,234.0,2,medium,M,46.0,3108.0,True,3001-4000,41-50%
574,B,Ship,4,3,108.0,6,low,F,22.0,1745.0,True,1000-2000,21-30%
575,C,Ship,4,2,276.0,2,low,M,54.0,3706.0,True,3001-4000,51-60%
576,F,Ship,4,2,179.0,4,low,M,1.0,1063.0,True,1000-2000,0-5%
577,D,Ship,4,1,230.0,3,medium,M,40.0,2225.0,True,2001-3000,31-40%
578,F,Ship,3,2,210.0,3,medium,F,43.0,2096.0,True,2001-3000,41-50%
579,A,Ship,3,2,173.0,3,low,F,15.0,1992.0,True,1000-2000,11-20%
580,B,Ship,2,5,201.0,3,medium,F,29.0,3894.0,True,3001-4000,21-30%
581,C,Ship,3,3,214.0,2,low,M,21.0,3342.0,True,3001-4000,21-30%
582,F,Ship,4,2,216.0,2,medium,F,22.0,3024.0,True,3001-4000,21-30%
583,D,Ship,2,5,144.0,3,medium,M,61.0,1313.0,True,1000-2000,60%+
584,F,Ship,5,5,182.0,3,medium,F,27.0,3039.0,True,3001-4000,21-30%
585,A,Ship,3,3,163.0,2,medium,F,48.0,1369.0,True,1000-2000,41-50%
586,B,Ship,3,3,234.0,3,medium,F,8.0,2334.0,True,2001-3000,6-10%
587,C,Ship,3,2,158.0,3,high,F,59.0,1307.0,True,1000-2000,51-60%
588,F,Ship,3,5,194.0,2,medium,M,4.0,3496.0,True,3001-4000,0-5%
589,D,Ship,3,1,201.0,6,medium,F,3.0,2497.0,True,2001-3000,0-5%
590,F,Ship,3,2,178.0,2,medium,F,59.0,1933.0,True,1000-2000,51-60%
591,A,Ship,4,1,214.0,5,medium,M,51.0,2669.0,True,2001-3000,51-60%
592,B,Ship,3,3,281.0,2,medium,M,55.0,3047.0,True,3001-4000,51-60%
593,C,Ship,3,2,260.0,3,medium,F,2.0,2176.0,True,2001-3000,0-5%
594,F,Ship,3,2,200.0,2,medium,F,46.0,3174.0,True,3001-4000,41-50%
595,D,Ship,5,3,209.0,2,high,F,49.0,2581.0,True,2001-3000,41-50%
596,F,Ship,3,1,185.0,3,low,M,61.0,3280.0,True,3001-4000,60%+
597,A,Ship,4,3,230.0,3,low,F,62.0,2236.0,True,2001-3000,60%+
598,B,Ship,3,4,134.0,3,medium,F,31.0,1540.0,True,1000-2000,31-40%
599,C,Ship,4,5,270.0,2,low,F,34.0,2821.0,True,2001-3000,31-40%
600,F,Ship,4,1,140.0,3,medium,F,1.0,1464.0,True,1000-2000,0-5%
601,D,Ship,6,3,133.0,5,medium,M,32.0,1367.0,True,1000-2000,31-40%
602,F,Ship,3,4,145.0,3,medium,M,44.0,1218.0,True,1000-2000,41-50%
603,A,Ship,4,3,206.0,3,medium,M,58.0,2135.0,True,2001-3000,51-60%
604,B,Ship,3,1,162.0,2,low,F,52.0,1125.0,True,1000-2000,51-60%
605,C,Ship,4,3,187.0,2,low,F,58.0,3665.0,True,3001-4000,51-60%
606,F,Ship,4,4,166.0,5,low,F,54.0,1203.0,True,1000-2000,51-60%
607,D,Ship,4,5,178.0,3,low,F,48.0,1819.0,True,1000-2000,41-50%
608,F,Ship,3,1,167.0,2,high,F,34.0,1967.0,True,1000-2000,31-40%
609,A,Ship,4,4,224.0,3,high,M,60.0,3145.0,True,3001-4000,51-60%
610,B,Ship,4,4,158.0,3,medium,M,11.0,1224.0,True,1000-2000,11-20%
611,C,Ship,3,4,134.0,2,medium,M,43.0,1198.0,True,1000-2000,41-50%
612,F,Ship,4,2,147.0,2,medium,F,20.0,1387.0,True,1000-2000,11-20%
613,D,Ship,4,3,187.0,3,low,M,61.0,2207.0,True,2001-3000,60%+
614,F,Ship,4,5,247.0,2,medium,F,18.0,2404.0,True,2001-3000,11-20%
615,A,Ship,5,4,182.0,4,high,M,20.0,2212.0,True,2001-3000,11-20%
616,B,Ship,4,1,177.0,4,medium,F,33.0,1049.0,True,1000-2000,31-40%
617,C,Ship,5,5,143.0,2,high,F,18.0,1066.0,True,1000-2000,11-20%
618,F,Ship,5,3,245.0,2,medium,F,8.0,3231.0,True,3001-4000,6-10%
619,D,Ship,4,1,133.0,4,medium,M,64.0,1834.0,True,1000-2000,60%+
620,F,Ship,3,5,224.0,2,low,M,13.0,3891.0,True,3001-4000,11-20%
621,A,Ship,2,5,265.0,2,low,F,50.0,3859.0,True,3001-4000,41-50%
622,B,Ship,4,1,138.0,2,low,M,28.0,1528.0,True,1000-2000,21-30%
623,C,Ship,3,4,253.0,3,low,M,6.0,3788.0,True,3001-4000,6-10%
624,F,Ship,4,1,165.0,3,medium,M,51.0,1293.0,True,1000-2000,51-60%
625,D,Ship,4,3,265.0,3,low,F,65.0,3578.0,True,3001-4000,60%+
626,F,Ship,3,2,238.0,3,high,F,54.0,3142.0,True,3001-4000,51-60%
